num,dt,sec,id,imgURL,imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
1,,20,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8573.jpeg,zorica_20140523-20140523_8573.jpeg,,1,,,,,,,,,,,,,,,,-33.989256,151.232349,-33.989256 151.232349,,90,,,,,,,,,,,,,,,,,-33.989256,151.232349,-33.989256 151.232349,90
2,,30,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8574.jpeg,zorica_20140523-20140523_8574.jpeg,,1,,,,,,,,,,,,,,,,-33.989117,151.23243,-33.989117 151.23243,,0,,,,,,,,,,,,,,,,,-33.989117,151.23243,-33.989117 151.23243,0
3,,40,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8575.jpeg,zorica_20140523-20140523_8575.jpeg,,1,,,,,,,,,,,,,,,,-33.989109,151.232355,-33.989109 151.232355,,0,,,,,,,,,,,,,,,,,-33.989109,151.232355,-33.989109 151.232355,0
4,,50,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8586.jpeg,zorica_20140523-20140523_8586.jpeg,,1,,,,,,,,,,,,,,,,-33.98918,151.232377,-33.98918 151.232377,,0,,,,,,,,,,,,,,,,,-33.98918,151.232377,-33.98918 151.232377,0
5,,60,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8595.jpeg,zorica_20140523-20140523_8595.jpeg,,1,,,,,,,,,,,,,,,,-33.989057,151.232419,-33.989057 151.232419,,120,,,,,,,,,,,,,,,,,-33.989057,151.232419,-33.989057 151.232419,120
6,,70,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8597.jpeg,zorica_20140523-20140523_8597.jpeg,,1,,,,,,,,,,,,,,,,-33.989102,151.232433,-33.989102 151.232433,,120,,,,,,,,,,,,,,,,,-33.989102,151.232433,-33.989102 151.232433,120
7,,80,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8601.jpeg,zorica_20140523-20140523_8601.jpeg,,1,,,,,,,,,,,,,,,,-33.989197,151.232333,-33.989197 151.232333,,0,,,,,,,,,,,,,,,,,-33.989197,151.232333,-33.989197 151.232333,0
8,,90,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8609.jpeg,zorica_20140523-20140523_8609.jpeg,,1,,,,,,,,,,,,,,,,-33.987558,151.231187,-33.987558 151.231187,,300,,,,,,,,,,,,,,,,,-33.987558,151.231187,-33.987558 151.231187,300
9,2013-12-17T06:05:10+0100,100,B00000165_21I5AW_20131217_060509,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_104.jpg,g1_a4_sml_104.jpg,,1,4014,2,1,0.124,-0.825,-0.026,0.186,-0.338,0.039,65535,65535,61994,65535,-3,2,-33.987971,151.230908,-33.987971 151.230908,,270,,,,0.5,11.31,1.92,1,1.25,1.531,1,1.158,105.63,-81.01,140.81,0,,-33.987971,151.230908,-33.987971 151.230908,270
10,2013-12-17T06:08:13+0100,110,B00000185_21I5AW_20131217_060812,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_124.jpg,g1_a4_sml_124.jpg,,1,4014,2,1,0.319,-0.955,0.051,0.215,-0.304,0.151,65535,65535,65535,65535,26.9,2,-33.988979,151.231072,-33.988979 151.231072,,220,,,,0.7,8.73,1.91,1,1.25,1.688,1,1.064,84.371,-70.58,164.68,0,,-33.988979,151.231072,-33.988979 151.231072,220
11,2013-12-17T06:08:37+0100,120,B00000187_21I5AW_20131217_060836,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_126.jpg,g1_a4_sml_126.jpg,,1,4014,2,1,0.067,-1.278,0.131,-0.043,-0.373,-0.112,65535,65535,65065,65535,53.9,2,-33.98899,151.231541,-33.98899 151.231541,,45,,,,0.3,16.6,1.78,1,1.25,1.719,1,1.189,88.449,-75.86,273.27,0,,-33.98899,151.231541,-33.98899 151.231541,45
12,2013-12-17T06:08:45+0100,130,B00000188_21I5AW_20131217_060844,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_127.jpg,g1_a4_sml_127.jpg,,1,4014,2,1,0.331,-1.157,-0.003,-0.09,-0.401,0.015,57756,65535,47693,65535,53.9,2,-33.988986,151.230108,-33.988986 151.230108,,330,,,,0.2,15.34,1.74,1,1.25,1.719,1,1.096,86.382,-72.79,262.09,0,,-33.988986,151.230108,-33.988986 151.230108,330
