num,dt,sec,id,imgURL,imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
66,2014-05-21T13:12:30+0000,515,B00000065_21I4N2_20140521_131230,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_066.jpg,g2_a1_sml_066.jpg,,1,4014,2,1,0.127,-1.168,0.346,0.106,-0.748,-0.015,65535,65535,65535,65535,21.3,2,-33.98987,151.23178,-33.98987 151.23178,0,308,0.51,3.55,34.8,0.6,17.43,1.99,1,1.31,1.781,1,1,68.714,-80.39,358.42,0,,-33.9896466667,151.233006667,-33.9896466667 151.233006667,320
68,2014-05-21T13:12:44+0000,529,B00000067_21I4N2_20140521_131244,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_068.jpg,g2_a1_sml_068.jpg,,1,4014,2,1,0.058,-0.887,0.422,0.112,-0.667,0.007,65535,65535,65535,65535,30.8,2,-33.98978,151.23169,-33.98978 151.23169,0,0,0.14,1.11,34.9,0.6,14.06,2.02,1,1.25,1.688,1,1.031,74.558,-74.58,343.3,0,,-33.9898233333,151.231716667,-33.9898233333 151.231716667,191
70,2014-05-21T13:12:59+0000,544,B00000069_21I4N2_20140521_131259,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_070.jpg,g2_a1_sml_070.jpg,,1,4014,2,1,0.059,-0.501,-0.881,0.127,-0.643,-0.787,34669,32454,18745,65535,30.8,2,-33.98982,151.23168,-33.98982 151.23168,0,0,0.48,3.34,35.2,0.8,19.2,2.11,2,1.25,1.375,1,1.656,134.21,-84.35,22.129,0,,-33.9898133333,151.231683333,-33.9898133333 151.231683333,180
74,2014-05-21T13:13:29+0000,574,B00000073_21I4N2_20140521_131329,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_074.jpg,g2_a1_sml_074.jpg,,1,4014,2,1,0.236,-0.84,-0.51,0.5,-0.36,-0.107,2506,2896,2287,6901,30.8,2,-33.98984,151.23168,-33.98984 151.23168,0,0,0.28,2.23,37,0.6,11.95,2.11,5,6.25,1.406,1,1.156,108.75,-80.22,96.083,0,,-33.9897633333,151.231656667,-33.9897633333 151.231656667,344
79,2014-05-21T13:14:15+0000,620,B00000078_21I4N2_20140521_131415,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_079.jpg,g2_a1_sml_079.jpg,,1,4014,2,1,0.103,-0.874,0.411,-0.016,-0.76,0.098,65535,65535,65535,65535,31.6,2,-33.98963,151.23161,-33.98963 151.23161,0,350,0.63,5.64,32.3,0.6,16.92,2.05,0,1.31,1.625,1,1.031,67.356,-86.39,335.73,0,,-33.9896833333,151.23163,-33.9896833333 151.23163,350
80,2014-05-21T13:14:24+0000,629,B00000079_21I4N2_20140521_131424,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_080.jpg,g2_a1_sml_080.jpg,,1,4014,2,1,0.035,-1.04,0.543,-0.076,-0.787,0.093,65535,65535,65535,65535,40,2,-33.98958,151.2316,-33.98958 151.23160,0,324,1.36,9.55,33.6,0.9,17.91,2.03,0,1.31,1.625,1,1.031,67.514,-91.05,326.19,0,,-33.9895733333,151.231583333,-33.9895733333 151.231583333,324
81,2014-05-21T13:14:31+0000,636,B00000080_21I4N2_20140521_131431,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_081.jpg,g2_a1_sml_081.jpg,,1,4014,2,1,-0.471,-1.074,-0.436,-0.252,-0.936,-0.305,51328,57481,35772,65535,40,2,-33.98951,151.23154,-33.98951 151.23154,0,244,0.51,5.12,33.3,0.2,13.9,2.03,0,1.25,1.594,1,1.063,81.081,-97.11,76.92,0,,-33.98954,151.231543333,-33.98954 151.231543333,244
82,2014-05-21T13:14:41+0000,646,B00000081_21I4N2_20140521_131440,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_082.jpg,g2_a1_sml_082.jpg,,1,4014,2,1,-0.089,-0.791,0.519,-0.018,-0.822,0.002,63076,65535,65535,65535,45.3,2,-33.98953,151.23149,-33.98953 151.23149,0,285,0.95,8.59,34.3,0.2,15.63,2.03,1,1.25,1.781,1.031,1,66.894,-95.35,18.448,0,,-33.98949,151.231436667,-33.98949 151.231436667,299
89,2014-05-21T13:15:37+0000,702,B00000088_21I4N2_20140521_131536,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_089.jpg,g2_a1_sml_089.jpg,,1,4014,2,1,0.028,-0.802,0.389,0.064,-0.839,-0.123,43236,59686,53136,65535,42.5,2,-33.98943,151.23128,-33.98943 151.23128,0,215,1.57,10.99,37,1.3,13.98,1.67,1,1.25,1.781,1,1,68.172,-89.75,356.75,0,,-33.98949,151.231326667,-33.98949 151.231326667,215
90,2014-05-21T13:15:44+0000,709,B00000089_21I4N2_20140521_131544,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_090.jpg,g2_a1_sml_090.jpg,,1,4014,2,1,0.001,-0.961,0.465,-0.131,-0.915,-0.302,40047,56704,52618,65535,42.5,2,-33.98951,151.23121,-33.98951 151.23121,0,269,0.92,6.45,37.2,1.5,15.57,1.72,1,1.25,1.781,1,1,70.66,-87.93,344.15,0,,-33.9894833333,151.23121,-33.9894833333 151.23121,269
91,2014-05-21T13:15:51+0000,716,B00000090_21I4N2_20140521_131551,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_091.jpg,g2_a1_sml_091.jpg,,1,4014,2,1,-0.278,-0.614,0.365,0.034,-0.852,0.137,41636,56153,52064,65535,42.5,2,-33.98951,151.23114,-33.98951 151.23114,0,7,0.96,6.73,37.4,0.4,18.47,1.75,1,1.31,1.875,1.063,1,67.05,-89.13,357.57,0,,-33.98949,151.231166667,-33.98949 151.231166667,7
92,2014-05-21T13:15:58+0000,723,B00000091_21I4N2_20140521_131558,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_092.jpg,g2_a1_sml_092.jpg,,1,4014,2,1,-0.247,-1.204,0.768,-0.006,-0.809,0.023,56990,65535,65535,65535,42.5,2,-33.98945,151.23115,-33.98945 151.23115,0,51,1.01,7.1,36.8,1.3,30.47,1.8,0,1.31,1.75,1,1,65.066,-92.37,6.654,0,,-33.9894566667,151.231166667,-33.9894566667 151.231166667,51
93,2014-05-21T13:16:05+0000,730,B00000092_21I4N2_20140521_131605,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_093.jpg,g2_a1_sml_093.jpg,,1,4014,2,1,0.109,-0.74,0.228,0.037,-0.796,-0.002,65535,65535,65535,65535,42.5,2,-33.98941,151.23121,-33.98941 151.23121,0,269,2.24,15.67,34.1,1.1,11.83,1.88,0,1.25,1.75,1,1,65.882,-92.58,8.7914,0,,-33.9894233333,151.231133333,-33.9894233333 151.231133333,269
94,2014-05-21T13:16:12+0000,737,B00000093_21I4N2_20140521_131612,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_094.jpg,g2_a1_sml_094.jpg,,1,4014,2,1,-0.261,-1.186,0.618,-0.006,-0.749,0.1,65535,65535,65535,65535,42.5,2,-33.98941,151.23104,-33.98941 151.23104,0,307,2.04,16.33,33.8,1.1,20.92,1.98,1,1.25,1.75,1,1,68.493,-93.26,14.206,0,,-33.98933,151.23097,-33.98933 151.23097,307
97,2014-05-21T13:16:35+0000,760,B00000096_21I4N2_20140521_131635,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_097.jpg,g2_a1_sml_097.jpg,,1,4014,2,1,-0.315,-1.404,0.716,-0.037,-0.757,0.105,65535,65535,65535,65535,42.5,2,-33.98917,151.23066,-33.98917 151.23066,0,202,0.34,2.41,36.2,1.4,7.88,2.01,0,1.31,1.688,1,1,66.175,-93.04,3.46,0,,-33.9892366667,151.23073,-33.9892366667 151.23073,285
101,2014-05-21T13:17:04+0000,789,B00000100_21I4N2_20140521_131704,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_101.jpg,g2_a1_sml_101.jpg,,1,4014,2,1,-0.308,-1.09,0.773,0.012,-0.754,0.072,65535,65535,65535,65535,35.1,2,-33.98913,151.23049,-33.98913 151.23049,0,314,2.04,14.25,37,2.1,19.43,2.07,0,1.25,1.688,1,1,64.615,-88.05,3.6676,0,,-33.9891133333,151.23051,-33.9891133333 151.23051,314
102,2014-05-21T13:17:11+0000,796,B00000101_21I4N2_20140521_131711,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_102.jpg,g2_a1_sml_102.jpg,,1,4014,2,1,-0.28,-0.972,0.16,0.069,-0.8,-0.043,42826,62461,58267,65535,35.1,2,-33.98904,151.23038,-33.98904 151.23038,0,0,0.45,4.45,36,0.8,17.53,2.06,1,1.25,1.781,1.031,1,64.979,-88.49,5.5624,0,,-33.9890733333,151.230343333,-33.9890733333 151.230343333,266
104,2014-05-21T13:17:28+0000,813,B00000103_21I4N2_20140521_131728,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_104.jpg,g2_a1_sml_104.jpg,,1,4014,2,1,0.139,-1.168,0.529,0.006,-0.849,-0.163,44001,61137,53647,65535,35.1,2,-33.98905,151.23016,-33.98905 151.23016,0,290,1.97,15.76,33,2.5,18.83,2.1,1,1.25,1.906,1.063,1,67.299,-87.48,356.98,0,,-33.98901,151.230146667,-33.98901 151.230146667,297
107,2014-05-21T13:17:50+0000,835,B00000106_21I4N2_20140521_131750,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_107.jpg,g2_a1_sml_107.jpg,,1,4014,2,1,0.041,-1.052,0.316,0.115,-0.784,-0.085,51140,65535,65187,65535,35.1,2,-33.98894,151.2299,-33.98894 151.22990,0,303,1.43,9.99,32.7,1,18.83,2.12,1,1.25,1.781,1,1,69.026,-80.22,352.68,0,,-33.98896,151.229956667,-33.98896 151.229956667,303
108,2014-05-21T13:17:57+0000,842,B00000107_21I4N2_20140521_131757,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_108.jpg,g2_a1_sml_108.jpg,,1,4014,2,1,0.023,-0.774,0.344,-0.036,-0.728,0.13,65535,65535,65535,65535,35.1,2,-33.98889,151.22981,-33.98889 151.22981,0,31,0.75,5.24,33.3,1.5,15.48,2.12,0,1.38,1.656,1,1.063,70.186,-81.01,304.68,0,,-33.9888633333,151.22984,-33.9888633333 151.22984,0
110,2014-05-21T13:18:12+0000,857,B00000109_21I4N2_20140521_131812,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_110.jpg,g2_a1_sml_110.jpg,,1,4014,2,1,-0.276,-1.179,-0.103,-0.081,-0.763,0.107,65535,65535,65535,65535,35.1,2,-33.98876,151.22981,-33.98876 151.22981,0,351,1.77,12.37,33.3,1.8,15.8,2.16,1,1.25,1.656,1,1.063,70.765,-80.37,328.18,0,,-33.9887666667,151.229803333,-33.9887666667 151.229803333,351
111,2014-05-21T13:18:19+0000,864,B00000110_21I4N2_20140521_131819,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_111.jpg,g2_a1_sml_111.jpg,,1,4014,2,1,0.395,-0.835,0.038,-0.067,-0.737,0.13,65535,65535,65535,65535,35.1,2,-33.98865,151.22979,-33.98865 151.22979,0,0,1.75,12.23,34.2,1.7,13.46,2.17,0,1.31,1.656,1,1.063,72.355,-76.71,300.59,0,,-33.98865,151.229796667,-33.98865 151.229796667,0
