num,dt,sec,id,imgURL,imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,num,imgFile,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
10,2013-12-15T07:36:27+0100,90,B00000308_21I5A3_20131215_073626,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_010.jpg,g2_a3_sml_010.jpg,,1,4014,2,1,0.02,-1.061,-0.131,-0.272,-0.92,-0.224,65535,65535,65535,65535,33.6,2,10,g2_a3_sml_010.jpg,-33.98924,151.2358,-33.98924 151.2358,0,269,0.46,3.69,23.4,0.9,14.54,1.74,1,1.31,1.719,1,1.156,96.031,-84.69,308.97,0,,-33.98924,151.2358,-33.98924 151.2358,269
11,2013-12-15T07:36:35+0100,100,B00000309_21I5A3_20131215_073634,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_011.jpg,g2_a3_sml_011.jpg,,1,4014,2,1,0.298,-0.725,-0.137,-0.114,-0.919,-0.253,65535,65535,65535,65535,33.6,2,11,g2_a3_sml_011.jpg,-33.98924,151.23576,-33.98924 151.23576,0,350,0.7,5.64,24.7,1,13.7,1.71,1,1.25,1.719,1,1.156,97.062,-85.57,305.3,0,,-33.98924,151.23576,-33.98924 151.23576,0
14,2013-12-15T07:37:01+0100,130,B00000312_21I5A3_20131215_073700,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_014.jpg,g2_a3_sml_014.jpg,,1,4014,2,1,0.066,-1.068,-0.062,-0.244,-0.912,-0.218,65535,65535,65535,65535,33.6,2,14,g2_a3_sml_014.jpg,-33.98913,151.23576,-33.98913 151.23576,0,121,0.48,4.31,25.2,0.8,12.92,1.8,1,1.25,1.688,1,1.188,94.31,-87.01,296.4,0,,-33.98913,151.23576,-33.98913 151.23576,16
37,2013-12-15T07:40:34+0100,360,B00000335_21I5A3_20131215_074033,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_037.jpg,g2_a3_sml_037.jpg,,1,4014,2,1,0.054,-0.808,-0.095,-0.344,-0.908,-0.352,65535,65535,49426,65535,34.1,2,37,g2_a3_sml_037.jpg,-33.98902,151.2358,-33.98902 151.2358,0,0,0.83,6.67,34.2,1.1,13.09,1.95,1,1.25,1.656,1,1.281,101.97,-87.01,291.38,0,,-33.98902,151.2358,-33.98902 151.2358,219
41,2013-12-15T07:41:12+0100,400,B00000339_21I5A3_20131215_074112,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_041.jpg,g2_a3_sml_041.jpg,,1,4014,2,1,-0.281,-1.124,0.485,-0.187,-0.927,-0.371,65535,65535,59506,65535,34.1,2,41,g2_a3_sml_041.jpg,-33.98907,151.23575,-33.98907 151.23575,0,109,1.09,9.81,33.9,0.4,69.67,2.74,0,1.31,1.594,1,1.125,70.162,-80.74,322.91,0,,-33.98907,151.23575,-33.98907 151.23575,109
42,2013-12-15T07:41:21+0100,410,B00000340_21I5A3_20131215_074120,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_042.jpg,g2_a3_sml_042.jpg,,1,4014,2,1,0.22,-1.209,-0.042,-0.322,-0.894,-0.267,65535,65535,64183,65535,34.1,2,42,g2_a3_sml_042.jpg,-33.9891,151.23585,-33.9891 151.23585,0,353,0.78,7.84,34.1,1,43.43,2.18,1,1.31,1.688,1,1.125,81.04,-91.73,317.28,0,,-33.9891,151.23585,-33.9891 151.23585,337
47,2013-12-15T07:42:08+0100,460,B00000345_21I5A3_20131215_074207,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_047.jpg,g2_a3_sml_047.jpg,,1,4014,2,1,0.164,-0.972,0.196,-0.113,-0.856,-0.221,65535,65535,65535,65535,29.9,2,47,g2_a3_sml_047.jpg,-33.98902,151.23581,-33.98902 151.23581,0,168,1.7,13.63,32.3,0.6,35.86,2.09,1,1.25,1.625,1,1.219,87.925,-85.63,309.95,0,,-33.98902,151.23581,-33.98902 151.23581,168
48,2013-12-15T07:42:16+0100,470,B00000346_21I5A3_20131215_074215,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_048.jpg,g2_a3_sml_048.jpg,,1,4014,2,1,0.544,-0.941,0.425,-0.143,-0.784,-0.135,65535,65535,65535,65535,29.9,2,48,g2_a3_sml_048.jpg,-33.98914,151.23584,-33.98914 151.23584,0,275,1.09,12.04,31,0.1,45.33,2.09,1,1.25,1.625,1,1.219,81.124,-73.88,322.46,0,,-33.98914,151.23584,-33.98914 151.23584,318
51,2013-12-15T07:42:46+0100,500,B00000349_21I5A3_20131215_074245,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_051.jpg,g2_a3_sml_051.jpg,,1,4014,2,1,0.629,-0.79,0.342,-0.003,-0.808,-0.255,58318,65535,61842,65535,36.2,2,51,g2_a3_sml_051.jpg,-33.98899,151.23568,-33.98899 151.23568,0,269,0.53,3.69,28.4,0.1,14.24,1.92,1,1.31,1.625,1,1.281,90.108,-74.48,318.46,0,,-33.98899,151.23568,-33.98899 151.23568,276
54,2013-12-15T07:43:10+0100,530,B00000352_21I5A3_20131215_074309,https://googledrive.com/host/0ByZPttHNHiZ0UmktMy1QZGFSeWc/g2_a3_sml_054.jpg,g2_a3_sml_054.jpg,,1,4014,2,1,0.021,-1.013,0.153,-0.338,-0.869,-0.238,43536,55426,51169,65535,36.2,2,54,g2_a3_sml_054.jpg,-33.98898,151.23558,-33.98898 151.23558,0,238,0.27,2.15,27.7,0.2,16.06,1.87,1,1.25,1.844,1,1.031,88.923,-86.99,302.79,0,,-33.98898,151.23558,-33.98898 151.23558,238
