dt                     ,id                              ,sz  ,typ ,p,accx  ,accy  ,accz  ,magx  ,magy  ,magz  ,red  ,green,blue ,lum  ,tem  ,g,lat      ,lon       ,alt     ,gs   ,herr ,verr ,exp ,gain ,rbal ,gbal ,bbal ,xor   ,yor   ,zor   ,stags   ,tags                                                                                                                                                                                                                                                                                                                                                        
2014-03-04T10:56:20+0000,B00000003_21I4N2_20140304_105619,4014,0002,1,-0.094,-0.268, 0.170, 0.078,-0.291, 0.203,25293,31120,29690,65535, 28.5,1,  -33.87005,151.221898,     18.0,  0.0, 0.00, 0.00,   1, 1.25,1.594,1.000,1.000,86.432,-90.90,168.39,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:56:46+0000,B00000004_21I4N2_20140304_105646,4014,0002,1, 0.126,-1.596, 0.415, 0.216,-0.272,-0.213,12784,14881,11478,38045, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   2, 1.25,1.531,1.000,1.188,85.276,-86.38,67.364,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:57:13+0000,B00000005_21I4N2_20140304_105712,4014,0002,1, 0.015,-0.179,-0.022, 0.152,-0.333,-0.038,14696,16797,11671,40910, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   3, 1.25,1.563,1.000,1.156,85.450,-87.08,63.580,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:57:40+0000,B00000006_21I4N2_20140304_105739,4014,0002,1,-0.020,-0.406, 0.243, 0.115,-0.437, 0.057,22887,26588,20965,63723, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   2, 1.25,1.625,1.000,1.063,86.413,-87.58,23.787,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:58:06+0000,B00000007_21I4N2_20140304_105805,4014,0002,1,-0.033,-1.794,-0.224, 0.007,-0.428,-0.055,14433,18875,17375,48527, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   3, 1.25,1.656,1.000,1.031,85.592,-86.40,75.531,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:58:32+0000,B00000008_21I4N2_20140304_105831,4014,0002,1, 0.172,-1.654,-0.527, 0.081,-0.333, 0.057,31887,40703,37996,65535, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   2, 1.25,1.719,1.000,1.000,85.335,-88.79,96.189,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:58:58+0000,B00000009_21I4N2_20140304_105858,4014,0002,1, 0.261,-0.646, 0.184, 0.048,-0.296, 0.218,41154,48335,43200,65535, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   1, 1.25,1.719,1.000,1.031,86.957,-90.08,155.64,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:59:24+0000,B00000010_21I4N2_20140304_105924,4014,0002,1,-0.039,-0.280, 0.061,-0.076,-0.396, 0.313,50775,63793,55629,65535, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   1, 1.25,1.688,1.000,1.031,84.873,-87.83,198.05,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T10:59:50+0000,B00000011_21I4N2_20140304_105949,4014,0002,1, 0.354,-1.046,-0.439,-0.324,-0.427, 0.098,47446,52661,37917,65535, 28.5,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   1, 1.25,1.594,1.000,1.125,85.878,-89.08,269.98,00000000,                                                                                                                                                                                                                                                                                                                                                            
2014-03-04T11:00:16+0000,B00000012_21I4N2_20140304_110015,4014,0002,1, 0.020,-0.313, 0.043,-0.155,-0.166, 0.507,47986,51565,31125,65535, 37.2,1,  0.00000,   0.00000,     0.0,  0.0, 0.00, 0.00,   1, 1.25,1.594,1.000,1.125,89.118,-89.04,195.22,00000000,                                                                                                                                                                                                                                                                                                                                                            
