num,dt,id,imgURL,imgFile,episode,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags
1,2014-03-04T10:56:20+0000,B00000003_21I4N2_20140304_105619,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000003_21I4N2_20140304_1056194.jpg,B00000003_21I4N2_20140304_1056194.jpg,0,4014,2,1,-0.094,-0.268,0.17,0.078,-0.291,0.203,25293,31120,29690,65535,28.5,1,-33.87005,151.221898,-33.87005 151.221898,0,18,0,0,0,1,1.25,1.594,1,1,86.432,-90.9,168.39,0,
2,2014-03-04T10:56:46+0000,B00000004_21I4N2_20140304_105646,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000004_21I4N2_20140304_1056464.jpg,B00000004_21I4N2_20140304_1056464.jpg,0,4014,2,1,0.126,-1.596,0.415,0.216,-0.272,-0.213,12784,14881,11478,38045,28.5,1,-33.86982533,151.2218944,-33.8698253333 151.2218944,1,18.08333333,0,0,0,2,1.25,1.531,1,1.188,85.276,-86.38,67.364,0,
3,2014-03-04T10:57:13+0000,B00000005_21I4N2_20140304_105712,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000005_21I4N2_20140304_1057124.jpg,B00000005_21I4N2_20140304_1057124.jpg,0,4014,2,1,0.015,-0.179,-0.022,0.152,-0.333,-0.038,14696,16797,11671,40910,28.5,1,-33.86960067,151.2218908,-33.8696006667 151.2218908,1,18.16666667,0,0,0,3,1.25,1.563,1,1.156,85.45,-87.08,63.58,0,
4,2014-03-04T10:57:40+0000,B00000006_21I4N2_20140304_105739,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000006_21I4N2_20140304_1057394.jpg,B00000006_21I4N2_20140304_1057394.jpg,0,4014,2,1,-0.02,-0.406,0.243,0.115,-0.437,0.057,22887,26588,20965,63723,28.5,1,-33.869376,151.2218872,-33.869376 151.2218872,1,18.25,0,0,0,2,1.25,1.625,1,1.063,86.413,-87.58,23.787,0,
5,2014-03-04T10:58:06+0000,B00000007_21I4N2_20140304_105805,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000007_21I4N2_20140304_1058054.jpg,B00000007_21I4N2_20140304_1058054.jpg,0,4014,2,1,-0.033,-1.794,-0.224,0.007,-0.428,-0.055,14433,18875,17375,48527,28.5,1,-33.86915133,151.2218836,-33.8691513333 151.2218836,1,18.33333333,0,0,0,3,1.25,1.656,1,1.031,85.592,-86.4,75.531,0,
6,2014-03-04T10:58:32+0000,B00000008_21I4N2_20140304_105831,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000008_21I4N2_20140304_1058314.jpg,B00000008_21I4N2_20140304_1058314.jpg,0,4014,2,1,0.172,-1.654,-0.527,0.081,-0.333,0.057,31887,40703,37996,65535,28.5,1,-33.86892667,151.22188,-33.8689266667 151.22188,1,18.41666667,0,0,0,2,1.25,1.719,1,1,85.335,-88.79,96.189,0,
7,2014-03-04T10:58:58+0000,B00000009_21I4N2_20140304_105858,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000009_21I4N2_20140304_1058584.jpg,B00000009_21I4N2_20140304_1058584.jpg,0,4014,2,1,0.261,-0.646,0.184,0.048,-0.296,0.218,41154,48335,43200,65535,28.5,1,-33.868702,151.2218764,-33.868702 151.2218764,1,18.5,0,0,0,1,1.25,1.719,1,1.031,86.957,-90.08,155.64,0,
8,2014-03-04T10:59:24+0000,B00000010_21I4N2_20140304_105924,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000010_21I4N2_20140304_1059244.jpg,B00000010_21I4N2_20140304_1059244.jpg,0,4014,2,1,-0.039,-0.28,0.061,-0.076,-0.396,0.313,50775,63793,55629,65535,28.5,1,-33.86847733,151.2218728,-33.8684773333 151.2218728,1,18.58333333,0,0,0,1,1.25,1.688,1,1.031,84.873,-87.83,198.05,0,
9,2014-03-04T10:59:50+0000,B00000011_21I4N2_20140304_105949,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000011_21I4N2_20140304_1059494.jpg,B00000011_21I4N2_20140304_1059494.jpg,0,4014,2,1,0.354,-1.046,-0.439,-0.324,-0.427,0.098,47446,52661,37917,65535,28.5,1,-33.86825267,151.2218692,-33.8682526667 151.2218692,1,18.66666667,0,0,0,1,1.25,1.594,1,1.125,85.878,-89.08,269.98,0,
10,2014-03-04T11:00:16+0000,B00000012_21I4N2_20140304_110015,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000012_21I4N2_20140304_1100154.jpg,B00000012_21I4N2_20140304_1100154.jpg,0,4014,2,1,0.02,-0.313,0.043,-0.155,-0.166,0.507,47986,51565,31125,65535,37.2,1,-33.868028,151.2218656,-33.868028 151.2218656,1,18.75,0,0,0,1,1.25,1.594,1,1.125,89.118,-89.04,195.22,0,
11,2014-03-04T11:00:42+0000,B00000013_21I4N2_20140304_110041,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000013_21I4N2_20140304_1100414.jpg,B00000013_21I4N2_20140304_1100414.jpg,0,4014,2,1,0.368,-1.68,0.325,-0.036,-0.33,0.19,43780,49553,32571,65535,39.7,1,-33.86780333,151.221862,-33.8678033333 151.221862,1,18.83333333,0,0,0,1,1.25,1.563,1,1.156,88.661,-89.2,189.36,0,
12,2014-03-04T11:01:08+0000,B00000014_21I4N2_20140304_110108,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000014_21I4N2_20140304_1101084.jpg,B00000014_21I4N2_20140304_1101084.jpg,0,4014,2,1,0.159,-0.599,0.214,0.061,-0.321,0.232,15350,17128,12757,36736,39.7,1,-33.86757867,151.2218584,-33.8675786667 151.2218584,1,18.91666667,0,0,0,2,1.25,1.563,1,1.219,86.841,-87.26,173.95,0,
